count,date
1496,2021-4-29
2342,2021-4-30
1748,2021-5-1
1615,2021-5-2
1239,2021-5-3
3596,2021-5-4
3724,2021-5-5
2883,2021-5-6
2910,2021-5-7
2403,2021-5-8
2305,2021-5-9
2771,2021-5-10
5097,2021-5-11
6590,2021-5-12
5760,2021-5-13
6511,2021-5-14
6562,2021-5-15
8645,2021-5-16
11003,2021-5-17
10928,2021-5-18
10485,2021-5-19
9924,2021-5-20
11355,2021-5-21
12849,2021-5-22
13444,2021-5-23
11800,2021-5-24
14154,2021-5-25
13974,2021-5-26
13535,2021-5-27
13912,2021-5-28
17275,2021-5-29
18479,2021-5-30
20665,2021-5-31
21767,2021-6-1
21377,2021-6-2
20401,2021-6-3
19787,2021-6-4
22918,2021-6-5
24795,2021-6-6
26423,2021-6-7
27250,2021-6-8
25350,2021-6-9
27022,2021-6-10
28130,2021-6-11
31869,2021-6-12
31897,2021-6-13
30937,2021-6-14
34598,2021-6-15
35719,2021-6-16
32989,2021-6-17
37744,2021-6-18
38559,2021-6-19
38067,2021-6-20
40306,2021-6-21
39850,2021-6-22
35880,2021-6-23
39146,2021-6-24
42747,2021-6-25
50568,2021-6-26
51108,2021-6-27
50475,2021-6-28
47976,2021-6-29
76992,2021-6-30
52867,2021-7-1
73014,2021-7-2
71570,2021-7-3
69518,2021-7-4
78558,2021-7-5
84610,2021-7-6
80579,2021-7-7
83602,2021-7-8
86679,2021-7-9
91310,2021-7-10
92662,2021-7-11
99692,2021-7-12
62297,2021-7-13
103311,2021-7-14
90363,2021-7-15
89868,2021-7-16
75487,2021-7-17
61296,2021-7-18
77986,2021-7-19
75084,2021-7-20
56590,2021-7-21
107353,2021-7-22
121342,2021-7-23
89632,2021-7-24
110236,2021-7-25
70505,2021-7-26
73298,2021-7-27
109236,2021-7-28
113818,2021-7-29
115020,2021-7-30
112579,2021-7-31
109283,2021-8-1
104771,2021-8-2
118026,2021-8-3
105963,2021-8-4
134035,2021-8-5
140042,2021-8-6
129148,2021-8-7
131367,2021-8-8
132305,2021-8-9
128506,2021-8-10
157703,2021-8-11
182335,2021-8-12
167637,2021-8-13
180156,2021-8-14
182496,2021-8-15
191352,2021-8-16
198592,2021-8-17
192537,2021-8-18
201562,2021-8-19
204844,2021-8-20
197406,2021-8-21
182240,2021-8-22
184282,2021-8-23
193671,2021-8-24
195625,2021-8-25
228172,2021-8-26
242107,2021-8-27
234685,2021-8-28
246475,2021-8-29
256487,2021-8-30
274172,2021-8-31
275963,2021-9-1
302737,2021-9-2
304480,2021-9-3
315548,2021-9-4
351266,2021-9-5
380109,2021-9-6
417166,2021-9-7
443638,2021-9-8
348196,2021-9-9
155213,2021-9-10
145933,2021-9-11
139335,2021-9-12
142617,2021-9-13
142172,2021-9-14
158429,2021-9-15
167247,2021-9-16
157034,2021-9-17
170693,2021-9-18
167488,2021-9-19
176304,2021-9-20
165453,2021-9-21
176334,2021-9-22
208641,2021-9-23
279551,2021-9-24
274496,2021-9-25
271242,2021-9-26
267582,2021-9-27
325068,2021-9-28
393853,2021-9-29
210476,2021-9-30
437791,2021-10-1
432299,2021-10-2
402588,2021-10-3
425419,2021-10-4
497921,2021-10-5
369168,2021-10-6
518391,2021-10-7
475095,2021-10-8
499261,2021-10-9
539201,2021-10-10
580644,2021-10-11
541013,2021-10-12
368197,2021-10-13
402601,2021-10-14
281658,2021-10-15
299167,2021-10-16
394454,2021-10-17
444248,2021-10-18
327135,2021-10-19
466518,2021-10-20
461588,2021-10-21
457176,2021-10-22
465680,2021-10-23
496585,2021-10-24
502684,2021-10-25
479033,2021-10-26
463131,2021-10-27
425425,2021-10-28
606107,2021-10-29
569088,2021-10-30
589942,2021-10-31
612793,2021-11-1
586167,2021-11-2
631810,2021-11-3
624581,2021-11-4
697032,2021-11-5
639506,2021-11-6
549325,2021-11-7
751065,2021-11-8
679958,2021-11-9
659275,2021-11-10
693373,2021-11-11
688609,2021-11-12
664690,2021-11-13
724143,2021-11-14
481910,2021-11-15
529833,2021-11-16
277076,2021-11-17
251113,2021-11-18
329427,2021-11-19
253007,2021-11-20
233078,2021-11-21
263443,2021-11-22
271735,2021-11-23
276359,2021-11-24
290792,2021-11-25
276043,2021-11-26
