count,date
3682,2021-4-28
11824,2021-4-29
11909,2021-4-30
9931,2021-5-1
9511,2021-5-2
8143,2021-5-3
9208,2021-5-4
9528,2021-5-5
8257,2021-5-6
6609,2021-5-7
5650,2021-5-8
6069,2021-5-9
6080,2021-5-10
15589,2021-5-11
16092,2021-5-12
14743,2021-5-13
14918,2021-5-14
15349,2021-5-15
23144,2021-5-16
29047,2021-5-17
28082,2021-5-18
25156,2021-5-19
24096,2021-5-20
28142,2021-5-21
32560,2021-5-22
34020,2021-5-23
29425,2021-5-24
35155,2021-5-25
33414,2021-5-26
33303,2021-5-27
32944,2021-5-28
37897,2021-5-29
40986,2021-5-30
47678,2021-5-31
48218,2021-6-1
46445,2021-6-2
46032,2021-6-3
47698,2021-6-4
55236,2021-6-5
60414,2021-6-6
60307,2021-6-7
63741,2021-6-8
64334,2021-6-9
69005,2021-6-10
70113,2021-6-11
75292,2021-6-12
74742,2021-6-13
77827,2021-6-14
82568,2021-6-15
85281,2021-6-16
80184,2021-6-17
87083,2021-6-18
89301,2021-6-19
91229,2021-6-20
96230,2021-6-21
92198,2021-6-22
89185,2021-6-23
100168,2021-6-24
104355,2021-6-25
117083,2021-6-26
115135,2021-6-27
113031,2021-6-28
120508,2021-6-29
187686,2021-6-30
128126,2021-7-1
161740,2021-7-2
162163,2021-7-3
164776,2021-7-4
195954,2021-7-5
201639,2021-7-6
191433,2021-7-7
202061,2021-7-8
211033,2021-7-9
216048,2021-7-10
228043,2021-7-11
235112,2021-7-12
140418,2021-7-13
274306,2021-7-14
228460,2021-7-15
241168,2021-7-16
205905,2021-7-17
146746,2021-7-18
208672,2021-7-19
198837,2021-7-20
173999,2021-7-21
238333,2021-7-22
223457,2021-7-23
189922,2021-7-24
229768,2021-7-25
167704,2021-7-26
165757,2021-7-27
233753,2021-7-28
234741,2021-7-29
254184,2021-7-30
236617,2021-7-31
221822,2021-8-1
230633,2021-8-2
261095,2021-8-3
245657,2021-8-4
296218,2021-8-5
302684,2021-8-6
278587,2021-8-7
293376,2021-8-8
286268,2021-8-9
261754,2021-8-10
327609,2021-8-11
362087,2021-8-12
329089,2021-8-13
338834,2021-8-14
319116,2021-8-15
342857,2021-8-16
360856,2021-8-17
342984,2021-8-18
362701,2021-8-19
345276,2021-8-20
310093,2021-8-21
292262,2021-8-22
297413,2021-8-23
307661,2021-8-24
305264,2021-8-25
343781,2021-8-26
333485,2021-8-27
310064,2021-8-28
318800,2021-8-29
323411,2021-8-30
346003,2021-8-31
353107,2021-9-1
370194,2021-9-2
364939,2021-9-3
376183,2021-9-4
419938,2021-9-5
458374,2021-9-6
496372,2021-9-7
521473,2021-9-8
424055,2021-9-9
231449,2021-9-10
227843,2021-9-11
215858,2021-9-12
216352,2021-9-13
211858,2021-9-14
233708,2021-9-15
241011,2021-9-16
224987,2021-9-17
244055,2021-9-18
234792,2021-9-19
246223,2021-9-20
238724,2021-9-21
245574,2021-9-22
262380,2021-9-23
401301,2021-9-24
367288,2021-9-25
355817,2021-9-26
347577,2021-9-27
394932,2021-9-28
490986,2021-9-29
262320,2021-9-30
524776,2021-10-1
504302,2021-10-2
467220,2021-10-3
478236,2021-10-4
554691,2021-10-5
439736,2021-10-6
600528,2021-10-7
555712,2021-10-8
566712,2021-10-9
613280,2021-10-10
667776,2021-10-11
627326,2021-10-12
460721,2021-10-13
479196,2021-10-14
337524,2021-10-15
370135,2021-10-16
494494,2021-10-17
555020,2021-10-18
401812,2021-10-19
565164,2021-10-20
560915,2021-10-21
575673,2021-10-22
583318,2021-10-23
612377,2021-10-24
624996,2021-10-25
622239,2021-10-26
626710,2021-10-27
507853,2021-10-28
687969,2021-10-29
685221,2021-10-30
763993,2021-10-31
888919,2021-11-1
914467,2021-11-2
954544,2021-11-3
989034,2021-11-4
1132357,2021-11-5
1169748,2021-11-6
1102685,2021-11-7
1571853,2021-11-8
1775654,2021-11-9
1900603,2021-11-10
2161806,2021-11-11
2467621,2021-11-12
2656851,2021-11-13
3044678,2021-11-14
1786144,2021-11-15
970546,2021-11-16
1486948,2021-11-17
1568571,2021-11-18
2133564,2021-11-19
379505,2021-11-20
298907,2021-11-21
458959,2021-11-22
459980,2021-11-23
602545,2021-11-24
658835,2021-11-25
613995,2021-11-26
