count,date
651,2021-4-26
354,2021-4-27
1757,2021-4-28
5472,2021-4-29
6886,2021-4-30
6861,2021-5-1
7851,2021-5-2
7696,2021-5-3
9631,2021-5-4
10138,2021-5-5
9209,2021-5-6
9263,2021-5-7
8781,2021-5-8
8729,2021-5-9
8118,2021-5-10
8807,2021-5-11
9303,2021-5-12
9710,2021-5-13
9909,2021-5-14
11080,2021-5-15
13810,2021-5-16
16063,2021-5-17
17531,2021-5-18
15848,2021-5-19
15993,2021-5-20
16817,2021-5-21
18382,2021-5-22
19123,2021-5-23
18313,2021-5-24
23088,2021-5-25
22898,2021-5-26
23547,2021-5-27
23442,2021-5-28
24846,2021-5-29
26795,2021-5-30
29571,2021-5-31
34134,2021-6-1
33947,2021-6-2
36562,2021-6-3
38105,2021-6-4
41114,2021-6-5
41423,2021-6-6
42032,2021-6-7
44852,2021-6-8
47735,2021-6-9
49667,2021-6-10
49145,2021-6-11
48179,2021-6-12
50189,2021-6-13
57529,2021-6-14
62012,2021-6-15
62310,2021-6-16
55880,2021-6-17
56703,2021-6-18
58609,2021-6-19
58283,2021-6-20
59730,2021-6-21
56403,2021-6-22
56615,2021-6-23
64634,2021-6-24
70801,2021-6-25
75929,2021-6-26
75322,2021-6-27
81411,2021-6-28
92784,2021-6-29
106182,2021-6-30
96663,2021-7-1
112098,2021-7-2
124495,2021-7-3
131111,2021-7-4
131983,2021-7-5
144584,2021-7-6
156644,2021-7-7
160624,2021-7-8
180809,2021-7-9
185015,2021-7-10
178068,2021-7-11
190365,2021-7-12
129409,2021-7-13
251420,2021-7-14
216253,2021-7-15
238450,2021-7-16
221790,2021-7-17
171104,2021-7-18
200973,2021-7-19
197857,2021-7-20
179057,2021-7-21
175508,2021-7-22
206204,2021-7-23
176915,2021-7-24
200694,2021-7-25
179159,2021-7-26
146373,2021-7-27
197744,2021-7-28
215693,2021-7-29
216871,2021-7-30
211652,2021-7-31
210925,2021-8-1
202488,2021-8-2
221311,2021-8-3
212637,2021-8-4
232212,2021-8-5
254979,2021-8-6
259660,2021-8-7
271925,2021-8-8
296524,2021-8-9
277214,2021-8-10
305973,2021-8-11
320158,2021-8-12
325061,2021-8-13
338376,2021-8-14
324363,2021-8-15
332113,2021-8-16
335272,2021-8-17
322639,2021-8-18
332295,2021-8-19
331409,2021-8-20
305668,2021-8-21
278719,2021-8-22
291868,2021-8-23
311226,2021-8-24
302837,2021-8-25
326839,2021-8-26
354296,2021-8-27
329827,2021-8-28
315997,2021-8-29
316632,2021-8-30
309397,2021-8-31
335332,2021-9-1
331897,2021-9-2
301582,2021-9-3
294835,2021-9-4
294585,2021-9-5
313382,2021-9-6
316190,2021-9-7
296122,2021-9-8
299583,2021-9-9
316030,2021-9-10
303551,2021-9-11
307861,2021-9-12
310386,2021-9-13
310341,2021-9-14
324437,2021-9-15
327495,2021-9-16
295690,2021-9-17
304502,2021-9-18
296430,2021-9-19
302251,2021-9-20
289402,2021-9-21
290824,2021-9-22
357245,2021-9-23
339860,2021-9-24
321959,2021-9-25
312231,2021-9-26
332316,2021-9-27
318775,2021-9-28
333791,2021-9-29
254315,2021-9-30
349163,2021-10-1
341917,2021-10-2
333497,2021-10-3
367961,2021-10-4
371104,2021-10-5
350525,2021-10-6
376549,2021-10-7
356233,2021-10-8
347579,2021-10-9
343367,2021-10-10
354616,2021-10-11
362671,2021-10-12
353838,2021-10-13
277994,2021-10-14
311853,2021-10-15
318171,2021-10-16
358584,2021-10-17
373594,2021-10-18
394766,2021-10-19
405217,2021-10-20
402082,2021-10-21
389383,2021-10-22
374267,2021-10-23
378786,2021-10-24
382548,2021-10-25
384405,2021-10-26
361619,2021-10-27
393154,2021-10-28
425554,2021-10-29
385911,2021-10-30
380761,2021-10-31
420699,2021-11-1
423920,2021-11-2
458030,2021-11-3
495143,2021-11-4
532023,2021-11-5
508039,2021-11-6
516553,2021-11-7
510811,2021-11-8
522502,2021-11-9
585035,2021-11-10
541910,2021-11-11
514667,2021-11-12
481515,2021-11-13
443768,2021-11-14
306810,2021-11-15
294116,2021-11-16
354804,2021-11-17
449275,2021-11-18
480374,2021-11-19
532107,2021-11-20
545589,2021-11-21
556402,2021-11-22
536370,2021-11-23
539492,2021-11-24
540440,2021-11-25
485228,2021-11-26
