count,date
30,2021-4-26
46,2021-4-27
201,2021-4-28
1031,2021-4-29
1897,2021-4-30
1826,2021-5-1
1861,2021-5-2
1459,2021-5-3
2097,2021-5-4
2463,2021-5-5
2173,2021-5-6
2144,2021-5-7
1658,2021-5-8
1619,2021-5-9
1155,2021-5-10
1300,2021-5-11
1779,2021-5-12
2581,2021-5-13
2804,2021-5-14
3510,2021-5-15
3785,2021-5-16
4293,2021-5-17
4315,2021-5-18
3497,2021-5-19
4591,2021-5-20
4369,2021-5-21
4931,2021-5-22
4622,2021-5-23
4406,2021-5-24
5089,2021-5-25
4873,2021-5-26
5369,2021-5-27
6960,2021-5-28
8578,2021-5-29
8577,2021-5-30
8762,2021-5-31
9723,2021-6-1
9277,2021-6-2
8644,2021-6-3
10165,2021-6-4
10478,2021-6-5
9975,2021-6-6
9800,2021-6-7
10732,2021-6-8
10613,2021-6-9
11412,2021-6-10
11729,2021-6-11
11782,2021-6-12
11602,2021-6-13
11464,2021-6-14
12759,2021-6-15
14325,2021-6-16
14483,2021-6-17
16064,2021-6-18
17252,2021-6-19
17378,2021-6-20
18539,2021-6-21
18515,2021-6-22
16208,2021-6-23
19423,2021-6-24
20653,2021-6-25
24131,2021-6-26
22891,2021-6-27
24008,2021-6-28
26733,2021-6-29
32588,2021-6-30
29096,2021-7-1
35773,2021-7-2
39422,2021-7-3
39289,2021-7-4
38266,2021-7-5
40946,2021-7-6
51658,2021-7-7
53942,2021-7-8
60046,2021-7-9
59148,2021-7-10
51562,2021-7-11
63478,2021-7-12
58755,2021-7-13
87469,2021-7-14
55127,2021-7-15
48840,2021-7-16
44777,2021-7-17
40311,2021-7-18
46739,2021-7-19
53401,2021-7-20
46412,2021-7-21
52811,2021-7-22
74411,2021-7-23
54263,2021-7-24
56149,2021-7-25
37991,2021-7-26
37277,2021-7-27
51091,2021-7-28
61550,2021-7-29
56291,2021-7-30
54827,2021-7-31
48855,2021-8-1
54276,2021-8-2
67877,2021-8-3
65717,2021-8-4
62279,2021-8-5
67212,2021-8-6
52173,2021-8-7
61019,2021-8-8
69262,2021-8-9
63379,2021-8-10
68211,2021-8-11
71927,2021-8-12
63190,2021-8-13
69231,2021-8-14
68670,2021-8-15
77186,2021-8-16
84240,2021-8-17
80934,2021-8-18
81199,2021-8-19
82395,2021-8-20
75312,2021-8-21
65599,2021-8-22
60832,2021-8-23
68676,2021-8-24
64447,2021-8-25
66875,2021-8-26
68991,2021-8-27
71114,2021-8-28
68390,2021-8-29
71211,2021-8-30
68868,2021-8-31
64280,2021-9-1
75734,2021-9-2
70604,2021-9-3
81403,2021-9-4
78191,2021-9-5
83105,2021-9-6
83120,2021-9-7
79630,2021-9-8
77058,2021-9-9
79835,2021-9-10
76286,2021-9-11
70018,2021-9-12
68862,2021-9-13
73136,2021-9-14
77381,2021-9-15
81191,2021-9-16
75711,2021-9-17
78814,2021-9-18
72857,2021-9-19
79967,2021-9-20
77020,2021-9-21
83072,2021-9-22
125637,2021-9-23
105868,2021-9-24
90561,2021-9-25
79329,2021-9-26
78961,2021-9-27
83861,2021-9-28
85679,2021-9-29
65254,2021-9-30
94413,2021-10-1
97647,2021-10-2
88795,2021-10-3
115981,2021-10-4
120347,2021-10-5
103061,2021-10-6
108953,2021-10-7
99921,2021-10-8
106215,2021-10-9
101519,2021-10-10
96826,2021-10-11
102295,2021-10-12
97172,2021-10-13
70135,2021-10-14
89498,2021-10-15
80856,2021-10-16
83264,2021-10-17
88529,2021-10-18
104350,2021-10-19
95381,2021-10-20
94971,2021-10-21
99192,2021-10-22
97789,2021-10-23
97004,2021-10-24
93411,2021-10-25
102478,2021-10-26
100004,2021-10-27
106402,2021-10-28
117421,2021-10-29
115738,2021-10-30
116018,2021-10-31
125237,2021-11-1
137952,2021-11-2
144804,2021-11-3
193531,2021-11-4
216501,2021-11-5
187227,2021-11-6
185912,2021-11-7
165335,2021-11-8
172093,2021-11-9
186281,2021-11-10
170845,2021-11-11
166554,2021-11-12
148839,2021-11-13
129915,2021-11-14
88916,2021-11-15
87798,2021-11-16
99604,2021-11-17
127805,2021-11-18
133906,2021-11-19
127989,2021-11-20
145917,2021-11-21
168325,2021-11-22
161852,2021-11-23
160716,2021-11-24
149728,2021-11-25
148536,2021-11-26
